# Immune lineage marker sets: pathway<TAB>gene (gene symbols)
T_cell	CD3D
T_cell	CD3E
T_cell	CD3G
T_cell	CD2
T_cell	TRAC
T_cell	IL7R
CD8_T_cell	CD8A
CD8_T_cell	CD8B
CD8_T_cell	GZMK
CD8_T_cell	GZMA
CD8_T_cell	NKG7
B_cell	CD19
B_cell	MS4A1
B_cell	CD79A
B_cell	CD79B
B_cell	BANK1
NK_cell	NKG7
NK_cell	GNLY
NK_cell	KLRD1
NK_cell	NCAM1
NK_cell	KLRF1
Myeloid	CD14
Myeloid	LYZ
Myeloid	FCGR3A
Myeloid	CSF1R
Myeloid	S100A8
Myeloid	S100A9
Dendritic_cell	FCER1A
Dendritic_cell	CLEC9A
Dendritic_cell	IL3RA
Dendritic_cell	CLEC10A
Erythrocyte	HBB
Erythrocyte	HBA1
Erythrocyte	HBA2
Erythrocyte	GYPA
Erythrocyte	ALAS2
Platelet	PPBP
Platelet	PF4
Platelet	ITGA2B
Platelet	GP9
